freOcurr_Id,freOcurr_Group,law_Code,spot_Code,freOcurr_Name,ocurr_Count,injury_Count,dead_Count,sland_Count,sInjury_Count,longitude,latitude,risk
6138247,2016040,4122010100,41220001,경기도 평택시 서정동(서정리초교 부근),1,1,1,0,0,127.0572896,37.0586398,
6141106,2016040,4127310200,41273001,경기도 안산시 단원구 와동(와동초교 부근),2,6,0,0,6,126.8299169,37.33771712,
6107948,2016040,1132010700,11320001,서울특별시 도봉구 창동(창원초교 부근),3,3,0,2,1,127.0410227,37.65341616,
6139185,2016040,1154510300,11545001,서울특별시 금천구 시흥동(문백초교 부근),1,1,1,0,0,126.9000582,37.44943793,
6138864,2016040,4127310900,41273002,경기도 안산시 단원구 선부동(선일초교 부근),2,2,0,0,2,126.8001834,37.33982962,
6107957,2016040,4128710100,41287001,경기도 고양시 일산서구 일산동(한뫼초교 부근),3,4,0,1,2,126.7672029,37.68649953,
6138865,2016040,4141010400,41410001,경기도 군포시 산본동(산본초교입구사거리 부근),2,3,0,0,3,126.9332172,37.36770483,
6138867,2016040,4311112400,43111001,충청북도 청주시 상당구 용암동(상당초교 부근),2,2,0,0,2,127.5094466,36.60878012,
6138868,2016040,4311210600,43112001,충청북도 청주시 서원구 분평동(원평초교 부근),2,3,0,0,3,127.494313,36.61105896,
6107928,2016040,4311210800,43112002,충청북도 청주시 서원구 성화동(성화초교 부근),2,2,0,0,2,127.4556251,36.61729566,
6193264,2016047,1121510500,11215011,서울특별시 광진구 자양동(신자초교입구 부근),4,4,0,3,1,127.0760856,37.5342821,
6193269,2016047,1121510500,11215012,서울특별시 광진구 자양동(동부간선도로-강변북로램프(4) 부근),4,4,0,3,1,127.0645972,37.52975853,
6176261,2016047,1121510300,11215013,서울특별시 광진구 구의동(어린이대공원후문 부근),4,4,0,3,1,127.090115,37.55139344,
6193267,2016047,1121510400,11215014,서울특별시 광진구 광장동(광장사거리 부근),4,4,0,3,1,127.1033415,37.54538307,
6176982,2016047,1121510300,11215015,서울특별시 광진구 구의동(강변북로-광나룻길램프(4) 부근),4,4,0,1,2,127.0982967,37.53938849,
6193273,2016047,1123010200,11230001,서울특별시 동대문구 용두동(마장동사거리 부근),17,18,0,4,10,127.0379516,37.57256767,
6193274,2016047,1123010300,11230002,서울특별시 동대문구 제기동(고대앞사거리_제기로_진출_1 부근),10,11,0,5,3,127.0345024,37.58645706,
6193586,2016047,1123010500,11230003,서울특별시 동대문구 답십리동(황물길-천호대로진입로 부근),10,10,0,2,6,127.0563155,37.56440306,
6193585,2016047,1123010600,11230004,서울특별시 동대문구 장안동(장평교앞 부근),8,8,0,2,3,127.0763574,37.57202351,
6193591,2016047,1123010600,11230005,서울특별시 동대문구 장안동(장평중교 부근),8,8,0,1,7,127.071155,37.56539011,
6193278,2016047,1123010900,11230006,서울특별시 동대문구 휘경동(동부간선도로-일반국도6호선램프 부근),7,8,0,3,3,127.069565,37.59177751,
6193589,2016047,1123010600,11230007,서울특별시 동대문구 장안동(장안동사무소 부근),7,8,0,3,3,127.0678275,37.57249782,
6177038,2016047,1111010100,11110001,서울특별시 종로구 청운동(자하문사거리 부근),5,5,0,2,2,126.9660815,37.59248581,
6193276,2016047,1123010300,11230008,서울특별시 동대문구 제기동(홍파초교 부근),7,7,0,1,5,127.0392254,37.5869489,
6193279,2016047,1123010600,11230009,서울특별시 동대문구 장안동(장안동우리은행 부근),7,7,0,1,4,127.0661859,37.56655829,
6192944,2016047,1111015600,11110002,서울특별시 종로구 종로3가(종로3가 부근),4,4,0,1,1,126.9921263,37.57024572,
6192945,2016047,1114014800,11140001,서울특별시 중구 을지로6가(오간수교(북단) 부근),8,9,0,1,3,127.0094995,37.56989588,
6176350,2016047,1123010300,11230010,서울특별시 동대문구 제기동(경동시장 부근),7,7,0,0,5,127.0384997,37.57926198,
6193588,2016047,1123010500,11230011,서울특별시 동대문구 답십리동(신답육교 부근),6,6,0,3,2,127.0499793,37.57126708,
6192954,2016047,1120010500,11200001,서울특별시 성동구 마장동(마장현대아파트 부근),9,12,0,5,6,127.0433159,37.57091651,
6192951,2016047,1120011500,11200002,서울특별시 성동구 성수동2가(태화약국 부근),8,9,1,3,5,127.0543303,37.54494274,
6193584,2016047,1123010200,11230012,서울특별시 동대문구 용두동(용두 치안센터 부근),6,6,0,2,3,127.033996,37.57810875,
6193593,2016047,1123010900,11230013,서울특별시 동대문구 휘경동(위생병원앞 부근),6,6,0,2,1,127.0634287,37.59049298,
6192946,2016047,1120011400,11200003,서울특별시 성동구 성수동1가(성수여중 부근),7,8,0,5,2,127.0500131,37.5401816,
6192947,2016047,1120010400,11200004,서울특별시 성동구 도선동(청계벽산 상가 부근),7,7,0,2,4,127.0302816,37.56918792,
6193587,2016047,1123010400,11230014,서울특별시 동대문구 전농동(전농동사거리_사가정길_진출_2 부근),5,5,1,2,2,127.0567136,37.57691049,
6200309,2016047,1123010600,11230015,서울특별시 동대문구 장안동(장안2파출소앞 부근),5,5,0,3,1,127.0718647,37.57425563,
6177142,2016047,1120011500,11200005,서울특별시 성동구 성수동2가(뚝도시장 부근),7,8,0,1,4,127.0550672,37.53953998,
6192949,2016047,1120011400,11200006,서울특별시 성동구 성수동1가(한국방송통신대학교(서울지역학 부근),7,7,0,1,4,127.0475841,37.54704337,
6193592,2016047,1123010200,11230016,서울특별시 동대문구 용두동(시립동부병원앞교차로_하정로_진 부근),5,5,0,0,4,127.0299523,37.57386699,
6176858,2016047,1123010400,11230017,서울특별시 동대문구 전농동(미주아파트앞 부근),4,4,0,0,3,127.0478798,37.58256116,
6192952,2016047,1120011800,11200007,서울특별시 성동구 송정동(치과의사회관앞 부근),5,6,0,3,3,127.0574824,37.54900995,
6192953,2016047,1120011400,11200008,서울특별시 성동구 성수동1가(한신아파트 부근),4,5,0,4,0,127.0520018,37.53548528,
6200311,2016047,1126010100,11260001,서울특별시 중랑구 면목동(상봉시장앞 부근),11,11,0,4,6,127.0868814,37.59275078,
6193595,2016047,1126010100,11260002,서울특별시 중랑구 면목동(한사랑교회 부근),6,7,0,3,2,127.0753541,37.58572707,
6192955,2016047,1121510100,11215001,서울특별시 광진구 중곡동(중곡주유소 부근),7,7,1,0,5,127.0761393,37.55849931,
6192959,2016047,1121510500,11215002,서울특별시 광진구 자양동(국민은행자양동지점 부근),7,8,0,4,4,127.080585,37.53166887,
6192956,2016047,1121510700,11215003,서울특별시 광진구 화양동(건대입구역 부근),7,7,0,3,3,127.0694635,37.54029748,
6176274,2016047,1121510500,11215004,서울특별시 광진구 자양동(올림픽대로-일반국도3호선램프(1 부근),6,6,0,3,1,127.0935037,37.5194431,
6193271,2016047,1121510500,11215005,서울특별시 광진구 자양동(씨케이하우컨(주) 부근),6,6,0,0,6,127.0836267,37.54056266,
6177089,2016047,1121510500,11215006,서울특별시 광진구 자양동(신양초교앞 부근),5,6,0,5,0,127.0683236,37.53537084,
6192957,2016047,1121510100,11215007,서울특별시 광진구 중곡동(중곡동사거리 부근),5,6,0,3,2,127.0798993,37.56310234,
6192958,2016047,1121510900,11215008,서울특별시 광진구 군자동(만나정 부근),5,6,0,3,1,127.0767996,37.55211785,
6193266,2016047,1121510500,11215009,서울특별시 광진구 자양동(성수사거리 부근),5,5,0,2,3,127.0638724,37.54195913,
6193272,2016047,1121510300,11215010,서울특별시 광진구 구의동(구의사거리 부근),5,5,0,2,3,127.0837156,37.54509379,
6195826,2016047,1156012400,11560008,서울특별시 영등포구 문래동6가(문래대원아파트 부근),7,11,0,3,4,126.8816512,37.51927545,
6195830,2016047,1156012100,11560009,서울특별시 영등포구 문래동3가(영등포청과시장 부근),6,6,0,3,1,126.9009514,37.5205762,
6193599,2016047,1126010600,11260012,서울특별시 중랑구 신내동(동성아파트 부근),4,4,0,1,2,127.0958996,37.60952203,
6193905,2016047,1126010300,11260013,서울특별시 중랑구 중화동(알프스안경 부근),4,4,0,1,2,127.07558,37.59679261,
6194547,2016047,1135010400,11350004,서울특별시 노원구 하계동(동부간선도로-월계로램프(3) 부근),7,7,1,2,4,127.063383,37.63309772,
6194550,2016047,1135010200,11350005,서울특별시 노원구 월계동(석계역환승주차장 부근),6,6,1,4,0,127.0642953,37.61490342,
